match_id,fecha,ronda,home,away,home_goals,away_goals,home_ball_possession,away_ball_possession,home_expected_goals,away_expected_goals,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_tackles,away_tackles,home_passes,away_passes,home_interceptions,away_interceptions
15525994,2026-03-21,1,Vila Nova FC,CRB,2,2,35%,65%,0.47,1.13,8,12,4,9,3,5,22,16,4,4,1,1,6,2,15,11,240,433,13,3
15525988,2026-03-21,1,Ceará,São Bernardo,1,1,52%,48%,1.77,0.24,21,4,6,3,7,3,8,18,2,0,,,2,6,14,14,407,382,8,16
15525987,2026-03-21,1,Operário-PR,Atlético Goianiense,1,0,43%,57%,2.73,0.59,17,9,10,0,7,7,14,12,2,2,,,0,9,16,9,332,433,11,8
15525984,2026-03-21,1,Botafogo-SP,Fortaleza,4,0,47%,53%,2.60,0.34,15,7,6,0,7,5,13,20,2,5,0,1,0,2,17,12,339,389,9,10
15525993,2026-03-21,1,Cuiabá,Sport Recife,0,0,42%,58%,1.32,0.92,13,10,4,1,0,1,20,21,1,2,,,1,4,12,8,356,500,10,7
15525991,2026-03-22,1,Avaí,Juventude,2,0,41%,59%,0.96,0.74,16,8,5,1,3,3,15,14,3,0,,,1,3,20,14,321,449,17,11
15525992,2026-03-22,1,Náutico,Criciúma,0,1,60%,40%,0.77,1.11,10,9,1,2,12,8,17,19,3,3,1,0,1,1,10,17,395,262,3,11
15525986,2026-03-22,1,Athletic Club,Ponte Preta,2,1,43%,57%,1.01,0.79,17,10,8,3,3,3,21,15,3,3,,,2,6,11,15,335,449,11,8
15525989,2026-03-22,1,Goiás,América Mineiro,3,1,33%,67%,1.96,1.77,9,24,3,9,3,8,10,6,1,1,1,0,8,0,14,14,258,505,10,8
15525985,2026-03-22,1,Grêmio Novorizontino,Londrina,1,3,56%,44%,2.25,1.06,24,11,9,3,9,7,9,9,0,3,,,0,8,20,20,414,347,6,9
15526004,2026-03-31,2,Juventude,Grêmio Novorizontino,0,0,60%,40%,0.68,0.26,13,9,4,0,4,8,13,15,4,3,,,0,4,10,11,476,308,8,7
