match_id,fase,fecha,home,away,home_goals,away_goals,home_ball_possession,away_ball_possession,home_expected_goals,away_expected_goals,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_tackles,away_tackles,home_passes,away_passes,home_interceptions,away_interceptions
16280788,"Liga 1, Clausura",2026-08-08,Universidad Técnica de Cajamarca,Asociación Deportiva Tarma,1,1,68%,32%,1.58,1.70,17,17,6,3,7,1,9,12,3,3,1,1,2,5,9,6,489,234,8,9
16281127,"Liga 1, Clausura",2026-08-08,CD Juan Pablo II,Club Atlético Grau,0,0,58%,42%,2.16,0.91,19,11,4,4,9,1,2,16,0,3,,,4,4,11,13,454,339,6,11
16280793,"Liga 1, Clausura",2026-08-09,Sport Boys,Alianza Lima,1,1,37%,63%,0.56,0.79,7,9,2,2,0,4,14,9,2,1,,,1,1,11,8,261,446,8,1
16280782,"Liga 1, Clausura",2026-08-09,Deportivo Garcilaso,CD Moquegua,2,0,46%,54%,1.22,0.93,10,9,3,1,5,4,15,10,0,3,,,1,1,18,13,339,406,13,13
16280790,"Liga 1, Clausura",2026-08-09,Melgar,FC Cajamarca,2,4,69%,31%,1.99,3.08,18,17,6,7,10,4,8,15,3,4,1,0,3,4,25,11,484,221,13,13
16280792,"Liga 1, Clausura",2026-08-14,Club Atlético Grau,Comerciantes Unidos,1,0,44%,56%,1.55,0.60,16,12,4,4,5,0,20,7,1,3,,,4,3,20,11,305,399,9,7
16280796,"Liga 1, Clausura",2026-08-14,Cusco FC,CD Juan Pablo II,2,0,60%,40%,1.25,0.76,17,12,2,2,8,5,12,13,1,3,,,1,1,10,8,473,309,9,5
16281119,"Liga 1, Clausura",2026-08-15,Asociación Deportiva Tarma,Alianza Atlético de Sullana,1,1,62%,38%,2.72,1.17,18,8,5,2,15,4,12,15,3,6,0,1,1,4,9,13,349,214,3,5
16280799,"Liga 1, Clausura",2026-08-15,Los Chankas CYC,Melgar,0,3,58%,42%,0.90,0.76,20,9,3,2,7,3,10,11,0,1,,,0,3,14,14,507,389,7,15
16280794,"Liga 1, Clausura",2026-08-16,Alianza Lima,Universidad Técnica de Cajamarca,1,0,64%,36%,2.33,0.00,26,2,8,0,8,1,12,9,1,0,0,1,0,7,21,16,513,303,3,9
16280806,"Liga 1, Clausura",2026-08-16,Club Sporting Cristal,Sport Huancayo,4,1,53%,47%,2.12,1.15,13,13,7,1,11,4,18,12,1,3,,,0,3,19,15,414,369,15,7
16281134,"Liga 1, Clausura",2026-08-16,CD Moquegua,Sport Boys,1,1,42%,58%,0.84,1.65,4,19,1,7,1,11,17,20,5,4,0,1,5,1,6,14,256,334,3,8
16281124,"Liga 1, Clausura",2026-08-16,FC Cajamarca,Universitario de Deportes,2,3,58%,42%,1.94,1.75,16,8,4,6,6,3,15,14,4,2,0,1,3,2,14,11,388,282,3,10
16280800,"Liga 1, Clausura",2026-08-16,Cienciano,Deportivo Garcilaso,0,0,54%,46%,1.48,1.09,14,8,4,0,6,1,10,12,2,5,1,0,0,4,13,19,329,284,14,11
16281129,"Liga 1, Clausura",2026-08-21,FC Cajamarca,Club Atlético Grau,1,3,59%,41%,3.01,2.38,20,15,5,5,4,4,8,10,2,1,,,2,4,15,18,457,325,15,14
16280801,"Liga 1, Clausura",2026-08-21,Alianza Atlético de Sullana,Club Sporting Cristal,3,1,43%,57%,3.95,0.63,17,9,6,3,6,5,17,19,3,3,,,2,3,8,11,293,398,7,8
16280683,"Liga 1, Clausura",2026-08-22,Sport Huancayo,CD Moquegua,0,2,75%,25%,3.68,0.92,43,13,8,5,10,1,12,9,3,2,,,3,8,9,14,493,178,8,10
16280797,"Liga 1, Clausura",2026-08-22,Universidad Técnica de Cajamarca,Comerciantes Unidos,1,3,47%,53%,2.17,4.34,19,22,4,11,7,6,14,15,1,0,1,0,8,3,9,7,298,337,3,4
16281133,"Liga 1, Clausura",2026-08-22,CD Juan Pablo II,Asociación Deportiva Tarma,5,1,45%,55%,1.93,1.47,9,13,5,4,2,6,16,12,,,,,3,1,28,17,356,429,12,12
16280804,"Liga 1, Clausura",2026-08-23,Deportivo Garcilaso,Cusco FC,4,1,47%,53%,2.34,1.42,17,16,9,5,4,8,13,13,1,3,0,2,4,5,11,17,322,361,10,6
16280802,"Liga 1, Clausura",2026-08-23,Sport Boys,Cienciano,5,1,51%,49%,2.86,2.01,14,13,8,6,3,8,10,14,2,2,0,1,5,3,18,18,343,318,7,6
16280803,"Liga 1, Clausura",2026-08-23,Melgar,Alianza Lima,1,1,53%,47%,1.41,0.78,13,15,6,8,3,2,12,8,3,1,,,7,3,17,18,449,404,17,6
16280805,"Liga 1, Clausura",2026-08-23,Universitario de Deportes,Los Chankas CYC,3,0,61%,39%,3.55,0.12,15,4,6,0,3,2,15,12,3,2,0,1,0,3,18,24,492,313,14,9
16280810,"Liga 1, Clausura",2026-08-28,Comerciantes Unidos,FC Cajamarca,2,3,72%,28%,2.90,0.63,27,13,5,6,5,3,10,17,2,2,,,3,3,12,10,501,192,4,9
16280809,"Liga 1, Clausura",2026-08-29,Los Chankas CYC,CD Juan Pablo II,3,4,56%,44%,1.28,3.55,18,19,8,8,4,2,9,8,3,1,1,0,4,5,10,16,459,376,7,6
16280807,"Liga 1, Clausura",2026-08-29,Universidad Técnica de Cajamarca,Universitario de Deportes,2,4,50%,50%,1.10,1.76,15,22,7,9,3,8,16,4,4,2,,,5,5,10,10,380,370,10,7
16280808,"Liga 1, Clausura",2026-08-30,Alianza Lima,Deportivo Garcilaso,0,1,71%,29%,3.71,2.08,30,8,6,5,10,2,13,16,3,3,,,3,6,22,22,478,203,6,10
